Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Rudy Gobert,31,$41000000,$43827586,$46655172,,,,$84827586
Karl-Anthony Towns,28,$36016200,$49245000,$53184600,$57124200,$61063800,,$195570000
Mike Conley,36,$24360000,,,,,,$24360000
Anthony Edwards,22,$13534817,$35500000,$38340000,$41180000,$44020000,$46860000,$219434817
Naz Reid,24,$12950400,$13986432,$15022464,,,,$26936832
Kyle Anderson,30,$9219512,,,,,,$9219512
Shake Milton,27,$5000000,$5000000,,,,,$5000000
Nickeil Alexander-Walker,25,$4687500,$4312500,,,,,$9000000
Troy Brown Jr.,24,$4000000,$4000000,,,,,$4000000
Jaden McDaniels,23,$3901399,$22586207,$24393104,$26200001,$28006898,$29813790,$134901399
Wendell Moore Jr.,22,$2421720,$2537040,$4574283,,,,$4958760
Jordan McLaughlin,27,$2320000,,,,,,$2320000
Leonard Miller,20,$1800000,$1891857,$2221677,$2406205,,,$3691857
Josh Minott,21,$1719864,$2019699,$2187451,,,,$1719864
Luka Garza,25,,,,,,,
Jaylen Clark,22,,,,,,,
Daishen Nix,21,,,,,,,
